cuisine_a,cuisine_b,iso3_a,iso3_b,lat_a,lon_a,lat_b,lon_b,distance_km,log_distance_km,cosine_similarity,jaccard_similarity,un_region_a,un_subregion_a,mapped_place_a,un_region_b,un_subregion_b,mapped_place_b,same_un_region,same_un_subregion,pair_id,predicted_cosine_distance_only,residual_cosine,abs_residual_cosine,residual_rank_positive
filipino,spanish,PHL,ESP,12.8797,121.774,40.4637,-3.7492,11857.328165301047,9.380701366000183,0.40539588464904786,0.3682539682539683,Asia,South-eastern Asia,Philippines,Europe,Southern Europe,Spain,False,False,filipino__spanish,0.18655035291206445,0.2188455317369834,0.2188455317369834,12
filipino,vietnamese,PHL,VNM,12.8797,121.774,14.0583,108.2772,1465.1592706612787,7.289719232716818,0.6371938376850346,0.47435897435897434,Asia,South-eastern Asia,Philippines,Asia,South-eastern Asia,Viet Nam,True,True,filipino__vietnamese,0.42865628854084725,0.20853754914418732,0.20853754914418732,13
british,french,GBR,FRA,55.3781,-3.436,46.2276,2.2137,1091.3260572211182,6.995148802064005,0.6611316874592006,0.5186274509803922,Europe,Northern Europe,United Kingdom,Europe,Western Europe,France,True,False,british__french,0.46276334693535726,0.19836834052384333,0.19836834052384333,14
brazilian,filipino,BRA,PHL,-14.235,-51.9253,12.8797,121.774,19317.59246321305,9.868771486296248,0.2899970538050232,0.41983695652173914,Americas,South America,Brazil,Asia,South-eastern Asia,Philippines,False,False,brazilian__filipino,0.13003878772657762,0.1599582660784456,0.1599582660784456,15
french,jamaican,FRA,JAM,46.2276,2.2137,18.1096,-77.2975,7769.204473554808,8.957923053764176,0.38711119215743134,0.3915094339622642,Europe,Western Europe,France,Americas,Caribbean,Jamaica,False,False,french__jamaican,0.23550205709842698,0.15160913505900436,0.15160913505900436,16
russian,spanish,RUS,ESP,61.524,105.3188,40.4637,-3.7492,7019.90595447862,8.856505100132201,0.39362647591085853,0.42613636363636365,Europe,Eastern Europe,Russian Federation,Europe,Southern Europe,Spain,True,False,russian__spanish,0.24724481097603657,0.14638166493482196,0.14638166493482196,17
jamaican,spanish,JAM,ESP,18.1096,-77.2975,40.4637,-3.7492,7340.406576342819,8.901149511946807,0.3846456679204466,0.4246885617214043,Americas,Caribbean,Jamaica,Europe,Southern Europe,Spain,False,False,jamaican__spanish,0.24207562424750173,0.14257004367294485,0.14257004367294485,18
jamaican,russian,JAM,RUS,18.1096,-77.2975,61.524,105.3188,11157.190586288598,9.3198394646637,0.3344927440536204,0.3832658569500675,Americas,Caribbean,Jamaica,Europe,Eastern Europe,Russian Federation,False,False,jamaican__russian,0.19359729383646096,0.14089545021715943,0.14089545021715943,19
filipino,french,PHL,FRA,12.8797,121.774,46.2276,2.2137,11107.19789035912,9.315348635732914,0.3330031518519588,0.3764813126709207,Asia,South-eastern Asia,Philippines,Europe,Western Europe,France,False,False,filipino__french,0.19411726783467453,0.13888588401728424,0.13888588401728424,20
filipino,italian,PHL,ITA,12.8797,121.774,41.8719,12.5674,10581.871650051393,9.266897594308247,0.3383209160847308,0.37520525451559933,Asia,South-eastern Asia,Philippines,Europe,Southern Europe,Italy,False,False,filipino__italian,0.19972720802956667,0.13859370805516413,0.13859370805516413,21
italian,southern_us,ITA,USA,41.8719,12.5674,33.0,-86.0,8262.496705296679,9.019482085406056,0.36259793979347865,0.7366746221161495,Europe,Southern Europe,Italy,Americas,Northern America,Southern United States,False,False,italian__southern_us,0.22837439841840923,0.13422354137506942,0.13422354137506942,22
italian,spanish,ITA,ESP,41.8719,12.5674,40.4637,-3.7492,1372.636055078732,7.224488297854104,0.5702034308246421,0.601027397260274,Europe,Southern Europe,Italy,Europe,Southern Europe,Spain,True,True,italian__spanish,0.4362091012911308,0.1339943295335113,0.1339943295335113,23
chinese,filipino,CHN,PHL,35.8617,104.1954,12.8797,121.774,3102.7551124396673,8.040045741720679,0.4751546051351769,0.49036402569593146,Asia,Eastern Asia,China,Asia,South-eastern Asia,Philippines,True,False,chinese__filipino,0.3417791705598301,0.13337543457534679,0.13337543457534679,24
british,irish,GBR,IRL,55.3781,-3.436,53.1424,-7.6921,371.65425609519866,5.9179640029964835,0.7166649056037884,0.5420560747663551,Europe,Northern Europe,United Kingdom,Europe,Northern Europe,Ireland,True,True,british__irish,0.5874859973454947,0.1291789082582937,0.1291789082582937,25
indian,jamaican,IND,JAM,20.5937,78.9629,18.1096,-77.2975,14993.367793987978,9.615363235241043,0.2852376783816117,0.4556407447973713,Asia,Southern Asia,India,Americas,Caribbean,Jamaica,False,False,indian__jamaican,0.15937985226328721,0.12585782611832447,0.12585782611832447,26
italian,russian,ITA,RUS,41.8719,12.5674,61.524,105.3188,6146.042213902749,8.723563611183398,0.3868092216592826,0.41608996539792387,Europe,Southern Europe,Italy,Europe,Eastern Europe,Russian Federation,True,False,italian__russian,0.2626375410493891,0.12417168060989353,0.12417168060989353,27
indian,moroccan,IND,MAR,20.5937,78.9629,31.7917,-7.0926,8463.17556119232,9.0434797440127,0.3495453289398547,0.5327510917030568,Asia,Southern Asia,India,Africa,Northern Africa,Morocco,False,False,indian__moroccan,0.2255958115058856,0.12394951743396909,0.12394951743396909,28
cajun_creole,filipino,USA,PHL,30.9843,-91.9623,12.8797,121.774,13951.44076361209,9.543338062462112,0.28932278979082654,0.4078674948240166,Americas,Northern America,"Louisiana, United States",Asia,South-eastern Asia,Philippines,False,False,cajun_creole__filipino,0.16771934094992003,0.12160344884090651,0.12160344884090651,29
filipino,southern_us,PHL,USA,12.8797,121.774,33.0,-86.0,14123.067691193493,9.555564746033113,0.28102662254940264,0.3977371627502176,Asia,South-eastern Asia,Philippines,Americas,Northern America,Southern United States,False,False,filipino__southern_us,0.1663036652162655,0.11472295733313714,0.11472295733313714,30
cajun_creole,spanish,USA,ESP,30.9843,-91.9623,40.4637,-3.7492,7699.322015841822,8.948887554074483,0.3504026345696198,0.5411298315163529,Americas,Northern America,"Louisiana, United States",Europe,Southern Europe,Spain,False,False,cajun_creole__spanish,0.23654823921133272,0.11385439535828706,0.11385439535828706,31
french,italian,FRA,ITA,46.2276,2.2137,41.8719,12.5674,957.6650177723061,6.8644980485265155,0.5902097217342468,0.7671464860287892,Europe,Western Europe,France,Europe,Southern Europe,Italy,True,False,french__italian,0.47789084248986513,0.11231887924438166,0.11231887924438166,32
french,irish,FRA,IRL,46.2276,2.2137,53.1424,-7.6921,1046.4859570709225,6.953193122848024,0.5771058794390497,0.5054187192118227,Europe,Western Europe,France,Europe,Northern Europe,Ireland,True,False,french__irish,0.4676212167420093,0.10948466269704038,0.10948466269704038,33
british,jamaican,GBR,JAM,55.3781,-3.436,18.1096,-77.2975,7344.7434935643505,8.901740165406522,0.3492172185771472,0.39141414141414144,Europe,Northern Europe,United Kingdom,Americas,Caribbean,Jamaica,False,False,british__jamaican,0.24200723499337062,0.10720998358377659,0.10720998358377659,34
italian,jamaican,ITA,JAM,41.8719,12.5674,18.1096,-77.2975,8665.204796136271,9.06707083673899,0.3290002217873372,0.388653683319221,Europe,Southern Europe,Italy,Americas,Caribbean,Jamaica,False,False,italian__jamaican,0.22286429912895533,0.10613592265838184,0.10613592265838184,35
filipino,irish,PHL,IRL,12.8797,121.774,53.1424,-7.6921,11246.99633715145,9.327856379730585,0.297503702167566,0.3317422434367542,Asia,South-eastern Asia,Philippines,Europe,Northern Europe,Ireland,False,False,filipino__irish,0.1926690493085763,0.10483465285898969,0.10483465285898969,36
mexican,spanish,MEX,ESP,23.6345,-102.5528,40.4637,-3.7492,9025.748549618387,9.107836721547573,0.32267642858906714,0.5736040609137056,Americas,Central America,Mexico,Europe,Southern Europe,Spain,False,False,mexican__spanish,0.21814419056072976,0.10453223802833739,0.10453223802833739,37
filipino,moroccan,PHL,MAR,12.8797,121.774,31.7917,-7.0926,12646.797498775748,9.445159299952604,0.2835756074311314,0.35961768219832735,Asia,South-eastern Asia,Philippines,Africa,Northern Africa,Morocco,False,False,filipino__moroccan,0.179087042652333,0.10448856477879842,0.10448856477879842,38
cajun_creole,italian,USA,ITA,30.9843,-91.9623,41.8719,12.5674,8832.105718119283,9.08614873834099,0.32400050035929506,0.6222780569514238,Americas,Northern America,"Louisiana, United States",Europe,Southern Europe,Italy,False,False,cajun_creole__italian,0.22065534997359681,0.10334515038569825,0.10334515038569825,39
brazilian,spanish,BRA,ESP,-14.235,-51.9253,40.4637,-3.7492,7850.194000810301,8.9682935239501,0.3312922582253983,0.4351851851851852,Americas,South America,Brazil,Europe,Southern Europe,Spain,False,False,brazilian__spanish,0.2343013044246911,0.09699095380070721,0.09699095380070721,40
irish,jamaican,IRL,JAM,53.1424,-7.6921,18.1096,-77.2975,7052.437834764901,8.861128628199216,0.34305818529963783,0.39483870967741935,Europe,Northern Europe,Ireland,Americas,Caribbean,Jamaica,False,False,irish__jamaican,0.24670947230874107,0.09634871299089676,0.09634871299089676,41
cajun_creole,french,USA,FRA,30.9843,-91.9623,46.2276,2.2137,7874.764154324953,8.971418514588215,0.3293756381941549,0.5835567470956211,Americas,Northern America,"Louisiana, United States",Europe,Western Europe,France,False,False,cajun_creole__french,0.23393947503828505,0.09543616315586984,0.09543616315586984,42
southern_us,spanish,USA,ESP,33.0,-86.0,40.4637,-3.7492,7108.562560307809,8.869055330811847,0.33094752429015856,0.5579584775086506,Americas,Northern America,Southern United States,Europe,Southern Europe,Spain,False,False,southern_us__spanish,0.24579167309757866,0.0851558511925799,0.0851558511925799,43
chinese,jamaican,CHN,JAM,35.8617,104.1954,18.1096,-77.2975,14011.711859263027,9.547648820250888,0.2510694982352207,0.4091381100726895,Asia,Eastern Asia,China,Americas,Caribbean,Jamaica,False,False,chinese__jamaican,0.16722021662403108,0.0838492816111896,0.0838492816111896,44
filipino,mexican,PHL,MEX,12.8797,121.774,23.6345,-102.5528,13714.073108379387,9.526177818760491,0.2528231822139615,0.4026958719460826,Asia,South-eastern Asia,Philippines,Americas,Central America,Mexico,False,False,filipino__mexican,0.16970625264604,0.0831169295679215,0.0831169295679215,45
brazilian,russian,BRA,RUS,-14.235,-51.9253,61.524,105.3188,14451.534392193988,9.578555874214214,0.24606827448396992,0.3813443072702332,Americas,South America,Brazil,Europe,Eastern Europe,Russian Federation,False,False,brazilian__russian,0.16364162018448614,0.08242665429948379,0.08242665429948379,46
british,filipino,GBR,PHL,55.3781,-3.436,12.8797,121.774,10876.13720649403,9.294326421201843,0.27229703349529344,0.35518474374255066,Europe,Northern Europe,United Kingdom,Asia,South-eastern Asia,Philippines,False,False,british__filipino,0.19655134072177383,0.07574569277351961,0.07574569277351961,47
jamaican,moroccan,JAM,MAR,18.1096,-77.2975,31.7917,-7.0926,7123.7371044660185,8.871187740930482,0.3145976377618615,0.40688775510204084,Americas,Caribbean,Jamaica,Africa,Northern Africa,Morocco,False,False,jamaican__moroccan,0.2455447703915734,0.0690528673702881,0.0690528673702881,48
chinese,japanese,CHN,JPN,35.8617,104.1954,36.2048,138.2529,3046.7594206143967,8.021833819719639,0.4123523144417802,0.6071065989847716,Asia,Eastern Asia,China,Asia,Eastern Asia,Japan,True,True,chinese__japanese,0.3438878516171553,0.06846446282462493,0.06846446282462493,49
moroccan,russian,MAR,RUS,31.7917,-7.0926,61.524,105.3188,8008.914310083437,8.988310489063478,0.2997764885640239,0.40664961636828645,Africa,Northern Africa,Morocco,Europe,Eastern Europe,Russian Federation,False,False,moroccan__russian,0.23198362509588066,0.06779286346814323,0.06779286346814323,50
cajun_creole,russian,USA,RUS,30.9843,-91.9623,61.524,105.3188,9610.923284372324,9.170655572726327,0.27841484377182985,0.4093816631130064,Americas,Northern America,"Louisiana, United States",Europe,Eastern Europe,Russian Federation,False,False,cajun_creole__russian,0.2108706627301138,0.06754418104171606,0.06754418104171606,51
filipino,russian,PHL,RUS,12.8797,121.774,61.524,105.3188,5568.840447412244,8.62494213304677,0.3379815047122138,0.3537675606641124,Asia,South-eastern Asia,Philippines,Europe,Eastern Europe,Russian Federation,False,False,filipino__russian,0.27405650291295547,0.06392500179925831,0.06392500179925831,52
jamaican,thai,JAM,THA,18.1096,-77.2975,15.87,100.9925,16232.111518101323,9.694746751744576,0.21286847888280525,0.3936052921719956,Americas,Caribbean,Jamaica,Asia,South-eastern Asia,Thailand,False,False,jamaican__thai,0.15018837222590786,0.06268010665689738,0.06268010665689738,53
french,spanish,FRA,ESP,46.2276,2.2137,40.4637,-3.7492,801.5339692904616,6.686527353298062,0.5589767274853381,0.6238095238095238,Europe,Western Europe,France,Europe,Southern Europe,Spain,True,False,french__spanish,0.49849731300768396,0.06047941447765415,0.06047941447765415,54
jamaican,korean,JAM,KOR,18.1096,-77.2975,35.9078,127.7669,13454.659622436582,9.507080765363249,0.22313624916832925,0.3484646194926569,Americas,Caribbean,Jamaica,Asia,Eastern Asia,Republic of Korea,False,False,jamaican__korean,0.1719174193063846,0.05121882986194465,0.05121882986194465,55
italian,mexican,ITA,MEX,41.8719,12.5674,23.6345,-102.5528,10147.79356058709,9.225011577645391,0.2533609216011351,0.7543035993740219,Europe,Southern Europe,Italy,Americas,Central America,Mexico,False,False,italian__mexican,0.20457701190522193,0.048783909695913175,0.048783909695913175,56
chinese,vietnamese,CHN,VNM,35.8617,104.1954,14.0583,108.2772,2458.4098952600184,7.807270035889536,0.4173315784388259,0.5833333333333334,Asia,Eastern Asia,China,Asia,South-eastern Asia,Viet Nam,True,False,chinese__vietnamese,0.3687312803626076,0.048600298076218296,0.048600298076218296,57
indian,mexican,IND,MEX,20.5937,78.9629,23.6345,-102.5528,15094.416151593972,9.62208016312819,0.20641819098652478,0.5460368294635709,Asia,Southern Asia,India,Americas,Central America,Mexico,False,False,indian__mexican,0.1586021277266767,0.04781606325984808,0.04781606325984808,58
brazilian,french,BRA,FRA,-14.235,-51.9253,46.2276,2.2137,8625.301992047534,9.062455254857328,0.27033663430211924,0.3955938697318008,Americas,South America,Brazil,Europe,Western Europe,France,False,False,brazilian__french,0.22339871774121578,0.04693791656090346,0.04693791656090346,59
brazilian,italian,BRA,ITA,-14.235,-51.9253,41.8719,12.5674,9069.640027602221,9.11268785407486,0.2630640673262041,0.3886986301369863,Americas,South America,Brazil,Europe,Southern Europe,Italy,False,False,brazilian__italian,0.21758249854017975,0.04548156878602433,0.04548156878602433,60
moroccan,spanish,MAR,ESP,31.7917,-7.0926,40.4637,-3.7492,1009.7299208017039,6.917438168929346,0.5127514364788559,0.5096262740656852,Africa,Northern Africa,Morocco,Europe,Southern Europe,Spain,False,False,moroccan__spanish,0.47176113091633687,0.040990305562519036,0.040990305562519036,61
indian,spanish,IND,ESP,20.5937,78.9629,40.4637,-3.7492,7941.658441732586,8.979877404185247,0.27017201602510094,0.4791271347248577,Asia,Southern Asia,India,Europe,Southern Europe,Spain,False,False,indian__spanish,0.2329600561577161,0.03721195986738485,0.03721195986738485,62
brazilian,mexican,BRA,MEX,-14.235,-51.9253,23.6345,-102.5528,6928.29511738265,8.843369047109643,0.28233919465201457,0.40295909486510006,Americas,South America,Brazil,Americas,Central America,Mexico,True,False,brazilian__mexican,0.24876577873414063,0.03357341591787394,0.03357341591787394,63
brazilian,indian,BRA,IND,-14.235,-51.9253,20.5937,78.9629,14775.330719470856,9.60071422574432,0.19402341666262177,0.40364025695931477,Americas,South America,Brazil,Asia,Southern Asia,India,False,False,brazilian__indian,0.16107599882225854,0.03294741784036323,0.03294741784036323,64
filipino,korean,PHL,KOR,12.8797,121.774,35.9078,127.7669,2630.003382456011,7.874740411275931,0.39203071516383586,0.437414030261348,Asia,South-eastern Asia,Philippines,Asia,Eastern Asia,Republic of Korea,True,False,filipino__korean,0.36091917231054194,0.031111542853293928,0.031111542853293928,65
mexican,moroccan,MEX,MAR,23.6345,-102.5528,31.7917,-7.0926,9131.246287562444,9.119457468934923,0.2478571063429093,0.44125105663567205,Americas,Central America,Mexico,Africa,Northern Africa,Morocco,False,False,mexican__moroccan,0.2167986736028673,0.031058432740041997,0.031058432740041997,66
jamaican,vietnamese,JAM,VNM,18.1096,-77.2975,14.0583,108.2772,16386.354829052307,9.704204244870597,0.17945894530936768,0.36809815950920244,Americas,Caribbean,Jamaica,Asia,South-eastern Asia,Viet Nam,False,False,jamaican__vietnamese,0.14909332928626173,0.030365616023105946,0.030365616023105946,67
korean,vietnamese,KOR,VNM,35.9078,127.7669,14.0583,108.2772,3110.7816643972455,8.042629312627401,0.36595144244618416,0.4904891304347826,Asia,Eastern Asia,Republic of Korea,Asia,South-eastern Asia,Viet Nam,True,False,korean__vietnamese,0.34148002986337034,0.024471412582813823,0.024471412582813823,68
greek,jamaican,GRC,JAM,39.0742,21.8243,18.1096,-77.2975,9504.041991980399,9.15947245994077,0.2359781510436862,0.3734249713631157,Europe,Southern Europe,Greece,Americas,Caribbean,Jamaica,False,False,greek__jamaican,0.21216550783715338,0.023812643206532813,0.023812643206532813,69
cajun_creole,irish,USA,IRL,30.9843,-91.9623,53.1424,-7.6921,6938.91164052966,8.844900217071487,0.2689812652027204,0.4369134515119917,Americas,Northern America,"Louisiana, United States",Europe,Northern Europe,Ireland,False,False,cajun_creole__irish,0.24858849107093284,0.020392774131787583,0.020392774131787583,70
filipino,greek,PHL,GRC,12.8797,121.774,39.0742,21.8243,9945.499605474664,9.204875426876386,0.22729757277824125,0.33984799131378934,Asia,South-eastern Asia,Philippines,Europe,Southern Europe,Greece,False,False,filipino__greek,0.20690849123462063,0.020389081543620624,0.020389081543620624,71
mexican,russian,MEX,RUS,23.6345,-102.5528,61.524,105.3188,10222.491493694159,9.232345620122448,0.22200054901994665,0.3989681857265692,Americas,Central America,Mexico,Europe,Eastern Europe,Russian Federation,False,False,mexican__russian,0.20372783429266117,0.018272714727285477,0.018272714727285477,72
greek,spanish,GRC,ESP,39.0742,21.8243,40.4637,-3.7492,2183.516526563854,7.688691941737757,0.3985765258406665,0.5332618025751072,Europe,Southern Europe,Greece,Europe,Southern Europe,Spain,True,True,greek__spanish,0.3824609339893532,0.016115591851313282,0.016115591851313282,73
british,cajun_creole,GBR,USA,55.3781,-3.436,30.9843,-91.9623,7132.089829129636,8.8723595741266,0.2580984432597377,0.4102822580645161,Europe,Northern Europe,United Kingdom,Americas,Northern America,"Louisiana, United States",False,False,british__cajun_creole,0.24540908880547518,0.012689354454262503,0.012689354454262503,74
brazilian,thai,BRA,THA,-14.235,-51.9253,15.87,100.9925,17103.3375210047,9.747028900113206,0.15535779253471743,0.3844444444444444,Americas,South America,Brazil,Asia,South-eastern Asia,Thailand,False,False,brazilian__thai,0.1441348444381818,0.011222948096535623,0.011222948096535623,75
greek,russian,GRC,RUS,39.0742,21.8243,61.524,105.3188,5939.5651504422885,8.68939120268068,0.27581319589103387,0.43233532934131735,Europe,Southern Europe,Greece,Europe,Eastern Europe,Russian Federation,True,False,greek__russian,0.2665942190149957,0.009218976876038176,0.009218976876038176,76
greek,moroccan,GRC,MAR,39.0742,21.8243,31.7917,-7.0926,2728.8498094692513,7.9116354841880865,0.36377435651960915,0.5275779376498801,Europe,Southern Europe,Greece,Africa,Northern Africa,Morocco,False,False,greek__moroccan,0.356647248602871,0.007127107916738151,0.007127107916738151,77
brazilian,jamaican,BRA,JAM,-14.235,-51.9253,18.1096,-77.2975,4546.627886125149,8.422141113248353,0.304042918462412,0.4511494252873563,Americas,South America,Brazil,Americas,Caribbean,Jamaica,True,False,brazilian__jamaican,0.2975379711967945,0.006504947265617511,0.006504947265617511,78
greek,mexican,GRC,MEX,39.0742,21.8243,23.6345,-102.5528,10959.60577483995,9.30197159040618,0.20162669634665617,0.5262711864406779,Europe,Southern Europe,Greece,Americas,Central America,Mexico,False,False,greek__mexican,0.19566613906758734,0.005960557279068829,0.005960557279068829,79
cajun_creole,greek,USA,GRC,30.9843,-91.9623,39.0742,21.8243,9650.24292650853,9.174738367747633,0.2122246019906214,0.49899799599198397,Americas,Northern America,"Louisiana, United States",Europe,Southern Europe,Greece,False,False,cajun_creole__greek,0.2103979332443473,0.0018266687462741016,0.0018266687462741016,80
brazilian,british,BRA,GBR,-14.235,-51.9253,55.3781,-3.436,8966.784187347499,9.101282383231565,0.22067849643740522,0.3987096774193548,Americas,South America,Brazil,Europe,Northern Europe,United Kingdom,False,False,brazilian__british,0.21890308954181914,0.0017754068955860847,0.0017754068955860847,81
cajun_creole,indian,USA,IND,30.9843,-91.9623,20.5937,78.9629,14198.61838786308,9.560899942226367,0.1669685765611754,0.46883468834688347,Americas,Northern America,"Louisiana, United States",Asia,Southern Asia,India,False,False,cajun_creole__indian,0.16568592552085137,0.0012826510403240177,0.0012826510403240177,82
french,mexican,FRA,MEX,46.2276,2.2137,23.6345,-102.5528,9190.129077283365,9.12588526065734,0.21723686609325638,0.6629303442754203,Europe,Western Europe,France,Americas,Central America,Mexico,False,False,french__mexican,0.21605442691409293,0.0011824391791634414,0.0011824391791634414,83
greek,southern_us,GRC,USA,39.0742,21.8243,33.0,-86.0,9086.907816692816,9.114589955117955,0.21694134578430058,0.5121527777777778,Europe,Southern Europe,Greece,Americas,Northern America,Southern United States,False,False,greek__southern_us,0.21736226234333778,-0.0004209165590371988,0.0004209165590371988,84
indian,southern_us,IND,USA,20.5937,78.9629,33.0,-86.0,13845.477045696203,9.535713891183091,0.1673681009577708,0.5432811211871393,Asia,Southern Asia,India,Americas,Northern America,Southern United States,False,False,indian__southern_us,0.16860211134356407,-0.001234010385793266,0.001234010385793266,85
brazilian,irish,BRA,IRL,-14.235,-51.9253,53.1424,-7.6921,8595.464039998882,9.058989905888232,0.21832807417526653,0.39501312335958005,Americas,South America,Brazil,Europe,Northern Europe,Ireland,False,False,brazilian__irish,0.22379995577242062,-0.005471881597154088,0.005471881597154088,86
korean,thai,KOR,THA,35.9078,127.7669,15.87,100.9925,3462.219388080404,8.149665104057746,0.32277458441493706,0.46760895170789163,Asia,Eastern Asia,Republic of Korea,Asia,South-eastern Asia,Thailand,True,False,korean__thai,0.32908681041996957,-0.006312226005032506,0.006312226005032506,87
brazilian,vietnamese,BRA,VNM,-14.235,-51.9253,14.0583,108.2772,17881.042491328044,9.79149635191196,0.12516855029213997,0.37814070351758794,Americas,South America,Brazil,Asia,South-eastern Asia,Viet Nam,False,False,brazilian__vietnamese,0.1389861471578946,-0.013817596865754622,0.013817596865754622,88
japanese,korean,JPN,KOR,36.2048,138.2529,35.9078,127.7669,942.7523388113897,6.848803616974838,0.4648267802478513,0.4837935174069628,Asia,Eastern Asia,Japan,Asia,Eastern Asia,Republic of Korea,True,True,japanese__korean,0.47970803402608087,-0.014881253778229575,0.014881253778229575,89
chinese,thai,CHN,THA,35.8617,104.1954,15.87,100.9925,2245.56048654433,7.7167104289471595,0.3641616051638636,0.6439628482972136,Asia,Eastern Asia,China,Asia,South-eastern Asia,Thailand,True,False,chinese__thai,0.3792167924193419,-0.01505518725547833,0.01505518725547833,90
brazilian,southern_us,BRA,USA,-14.235,-51.9253,33.0,-86.0,6377.678796054875,8.760559485068669,0.24301267891684816,0.41310282074613286,Americas,South America,Brazil,Americas,Northern America,Southern United States,True,False,brazilian__southern_us,0.25835394602539274,-0.015341267108544582,0.015341267108544582,91
cajun_creole,moroccan,USA,MAR,30.9843,-91.9623,31.7917,-7.0926,7821.887890105436,8.964681222574729,0.21850862174323,0.4127144298688194,Americas,Northern America,"Louisiana, United States",Africa,Northern Africa,Morocco,False,False,cajun_creole__moroccan,0.23471955745054762,-0.01621093570731763,0.01621093570731763,92
mexican,thai,MEX,THA,23.6345,-102.5528,15.87,100.9925,14931.668834884427,9.611239661572919,0.14231878241847093,0.4928,Americas,Central America,Mexico,Asia,South-eastern Asia,Thailand,False,False,mexican__thai,0.1598573033352808,-0.01753852091680988,0.01753852091680988,93
brazilian,moroccan,BRA,MAR,-14.235,-51.9253,31.7917,-7.0926,7000.105549040859,8.853680506358181,0.22424029466320317,0.4090909090909091,Americas,South America,Brazil,Africa,Northern Africa,Morocco,False,False,brazilian__moroccan,0.24757185868607912,-0.02333156402287595,0.02333156402287595,94
filipino,indian,PHL,IND,12.8797,121.774,20.5937,78.9629,4625.250783629305,8.439285871963902,0.2719901351050558,0.41935483870967744,Asia,South-eastern Asia,Philippines,Asia,Southern Asia,India,True,False,filipino__indian,0.2955528524414085,-0.02356271733635268,0.02356271733635268,95
